,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
0,Honey,Bobby Goldsboro,1968-04-16,1968,04,16,"See the tree? how big it's grown, But friend, it hasn't been too long It wasn't big... I laughed at her, and she got mad The first day that she planted it Was just a twig... Then the first snow came, And she ran out to brush the snow away So it wouldn't die... Came runnin' in all excited Slipped and almost hurt herself And I laughed 'til I cried... She was always young at heart Kinda dumb, and kinda smart And I loved her so... And I surprised her with a puppy, Kept me up all Christmas eve, 2 years ago... And it would sure embarrass her when I came in from workin' late, ...  ",-0.1607,0.124,0.129,0.746
1,Young Girl,The Union Gap Featuring Gary Puckett,1968-04-16,1968,04,16,"Young Girl, Get Out Of My Mind My Love For You Is Way Out Of Line Better Run, Girl, You're Much Too Young, Girl With All The Charms Of A Woman You've Kept The Secret Of Your Youth You Led Me To Believe You're Old Enough ...  ",0.875,0.189,0.0,0.811
2,Cry Like A Baby,The Box Tops,1968-04-16,1968,04,16,"When I think about the good love you gave me I cry like a baby Livin' without you is drivin' me crazy I cry like a baby Well, I know now that you're not a play thing Not a toy or a puppet on a string  As I look back on a love so sweet now I cry like a baby Every road is a lonely street I cry like a baby I know now that you're not a play thing ...  ",0.7842,0.288,0.226,0.486
3,Lady Madonna,The Beatles,1968-04-16,1968,04,16,Lady Madonna Children at your feet Wonder how you manage to make ends meet  Who finds the money When you pay the rent? Did you think that money was heaven-sent?  Friday night arrives without a suitcase Sunday morning creeping like a nun Monday's child has learned to tie his bootlace See how they run ...  ,0.3527,0.052,0.025,0.923
4,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968-04-16,1968,04,16,"Aretha Franklin Miscellaneous Sweet Sweet Baby Since You've Been Gone Baby baby, sweet baby There's something that I just got to say Baby baby, sweet baby You left me hurtin' in a real cold way  Speak your name And I'll feel a thrill You said I do And I said I will  I tell you that I'll stay true and give you just a little time Wait on me baby, I want you to be all mine I just get so blue  ...  ",0.9485,0.22,0.0,0.78
5,(Sittin' On) The Dock Of The Bay,Otis Redding,1968-04-16,1968,04,16,"Sittin' in the morning sun I'll be sittin' when the evening comes Watching the ships roll in Then I watch them roll away again, yeah  I'm sittin' on the dock of the bay Watchin' the tide roll away, ooh I'm just sittin' on the dock of the bay Wastin' time  I left my home in Georgia ...  ",0.296,0.039,0.0,0.961
6,The Ballad Of Bonnie And Clyde,Georgie Fame,1968-04-16,1968,04,16,Bonnie and Clyde were pretty looking people But I can tell you people They were the devil's children Bonnie and Clyde began their evil doing One lazy afternoon down Savannah way They robbed a store and Hightailed outa that town Got clean away in a stolen car And waited till the heat died down  Bonnie and Clyde advanced their reputation And made the graduation ...  ,-0.7783,0.103,0.179,0.718
7,Dance To The Music,Sly & The Family Stone,1968-04-16,1968,04,16,"Cynthia: Get up and dance to the music! Get on up and dance to the fonky music! Dum-dumm du-du-du-du-du-dum-dumm Du-du-du-du-du-dum-dumm - du-du-du-du-du-dum-dumm All: Dance to the Music, Dance to the Music Freddie: Hey Greg! Greg: What? Freddie: All we need is a drummer, for people who only need a beat, yeah! [Drummer] ...  ",0.5216,0.064,0.0,0.936
8,Mighty Quinn (Quinn The Eskimo),Manfred Mann,1968-04-16,1968,04,16,"Come all without, come all within You'll not see nothing like the Mighty Quinn Come all without, come all within You'll not see nothing like the Mighty Quinn  Everybody's building ships and boats Some are building monuments, others are jotting down notes Everybody's in despair, every girl and boy But when Quinn the Eskimo gets here Everybody's gonna jump for joy  Come all without, come all within You'll not see nothing like the Mighty Quinn ...  ",0.7153,0.112,0.028,0.86
9,Scarborough Fair (/Canticle),Simon & Garfunkel,1968-04-16,1968,04,16,"Are you going to Scarborough Fair? Parsley, sage, rosemary & thyme Remember me to one who lives there She once was a true love of mine  Tell her to make me a cambric shirt  (On the side of a hill in the deep forest green) Parsely, sage, rosemary & thyme (Tracing a sparrow on snow-crested ground) Without no seams nor needlework (Blankets and bedclothes a child of the mountains) Then she'll be a true love of mine ...  ",0.9337,0.198,0.027,0.776
