,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
0,(Theme From) Valley Of The Dolls,Dionne Warwick,1968-03-07,1968,03,07,"Gotta get off, gonna get Have to get off from this ride Gotta get hold, gonna get Need to get hold of my pride When did i get, where did i How was i caught in this game When will i know, where will i How will i think of my name ...  ",0.34,0.05,0.0,0.95
1,(Sittin' On) The Dock Of The Bay,Otis Redding,1968-03-07,1968,03,07,"Sittin' in the morning sun I'll be sittin' when the evening comes Watching the ships roll in Then I watch them roll away again, yeah  I'm sittin' on the dock of the bay Watchin' the tide roll away, ooh I'm just sittin' on the dock of the bay Wastin' time  I left my home in Georgia ...  ",0.296,0.039,0.0,0.961
2,I Wish It Would Rain,The Temptations,1968-03-07,1968,03,07,"Sunshine, blue skies, please go away My girl has found another, and gone away With her went my future, my life is filled with gloom So day after day, I stay locked up in my room  I know to you it might sound strange But I wish it would rain (Oh how I wish that it would rain) Oh yeah, yeah, yeah  'Cause so badly I wanna go outside (Such a lovely day) Everyone knows that a man ain't supposed to cry Listen, I got to cry, 'cause crying Eases the pain, oh yeah  People, this hurt I feel inside ...  ",0.9242,0.279,0.162,0.559
3,Just Dropped In (To See What Condition My Condition Was In),The First Edition,1968-03-07,1968,03,07,"I woke up this morning with the sundown shining in I found my mind in a brown paper bag but then I tripped on a cloud and fell-a eight miles high I tore my mind on a jagged sky I just dropped in to see what condition my condition was in  Yeah, yeah, oh-yeah, what condition my condition was in  I pushed my soul in a deep dark hole and then I followed it in ...  ",0.6808,0.082,0.0,0.918
4,Spooky,Classics IV,1968-03-07,1968,03,07,"In the cool of the evening when ev'rything is gettin' kind of groovy, I call you up and ask you if you'd like to go with me and see a movie, First you say no, you've got some plans for the night, And then you stop, and say, ""All right."" Love is kinda crazy with a spooky little girl like you.  You always keep me guessin', I never seem to know what you are thinkin'. And if a fella looks at you, it's for sure your little eye will be a-winkin'. ...  ",0.807,0.139,0.066,0.796
5,I Wonder What She's Doing Tonite,Tommy Boyce & Bobby Hart,1968-03-07,1968,03,07,If I had told her that I loved her She would have stayed till who knows when But I guess she couldn't understand it When I said I want to be your friend Cause a friend would never doubt you Or ever put you uptight And now I wonder what she's doing tonight  REFRAIN  ...  ,0.8949,0.25,0.056,0.693
6,La - La - Means I Love You,The Delfonics,1968-03-07,1968,03,07,"Many guys have come to you With a line that wasn't true And you passed them by (Passed them by) Now you're in the center ring And their lines don't mean a thing Why don't you let me try (Let me try)  Now I don't wear a diamond ring I don't even have a song to sing All I know is  La la la la la la la la la means I love you Oh, baby please now ...  ",0.4822,0.083,0.056,0.86
7,Everything That Touches You,The Association,1968-03-07,1968,03,07,"In my most secure moments, I still can't believe I'm spending those moments with you And the ground I am walking, the air that I breathe Are shared at those moments with you  You love for real, you show the feel Of everything that touches you  In the songs I've been singing, quite often a phrase Comes close to the feeling of you But I never suspected that one of those days The wish of a song would come true  You love for real, you show the feel Of everything that touches you ...  ",0.9659,0.219,0.0,0.781
8,I Thank You,Sam & Dave,1968-03-07,1968,03,07,"(I want everybody to get up off your seat And get your arms together, and your hands together And give me some of that o-o-old soul clapping)  You didn't have to love me like you did But you did, but you did And I thank you You didn't have to squeeze me like you did But you did, but you did And I thank you  If you took your love to somewhere else I wouldn't know what it meant to be loved to death You made me feel like I've never felt Kisses so good I had to holler for help  You didn't have to squeeze me but you did But you did but you did And I thank you You didn't have to hold me but you did ...  ",0.9479,0.208,0.098,0.695
9,"Baby, Now That I've Found You",The Foundations,1968-03-07,1968,03,07,"Baby, now that I've found you, I can't let you go I'll build my world around you, I need you so Baby, even though you don't need me You don't need me Baby, now that I've found you, I can't let you go I'll build my world around you, I need you so Baby, even though you don't need me You don't need me Baby, baby, since first we met I knew in this heart of mine, I wanna tell you The love we had could not be bad Play it right and bide my time ...  ",0.7196,0.073,0.021,0.906
10,Walk Away Renee,Four Tops,1968-03-07,1968,03,07,"And when I see the sign that points one way The lot we used to pass by every day  Just walk away, Renée You won't see me follow you back home The empty sidewalks on my block are not the same You're not to blame  From deep inside the tears I'm forced to cry From deep inside the pain ...  ",-0.918,0.029,0.228,0.742
11,The End Of Our Road,Gladys Knight And The Pips,1968-03-07,1968,03,07,"Knight Gladys (And The Pips) Miscellaneous The End of Our Road Marvin Gaye  It's over, it's all over Said it's over, it's all over baby I've gotta get away from you fast as I can Oh you're too much for me woman More than my heart could stand Like a kid behind the wheel You been reckless with my heart If I stay around you sure to tear it all apart Said the road's got to end somewhere, honey honey ...  ",0.2732,0.058,0.033,0.909
12,We're A Winner,The Impressions,1968-03-07,1968,03,07,"We're a winner and never let anybody say Boy, you can't make it 'cause a feeble mind is in your way No more tears do we cry And we have finally dried our eyes  And we're movin' on up (Movin' on up) Lord have mercy, we're movin' on up (Movin' on up)  We're living proof in alls alert That we're two from the good black earth And we're a winner And everybody knows it too  We'll just keep on pushin' Like your leaders tell you to ...  ",0.8405,0.175,0.096,0.73
13,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968-03-07,1968,03,07,"Aretha Franklin Miscellaneous Sweet Sweet Baby Since You've Been Gone Baby baby, sweet baby There's something that I just got to say Baby baby, sweet baby You left me hurtin' in a real cold way  Speak your name And I'll feel a thrill You said I do And I said I will  I tell you that I'll stay true and give you just a little time Wait on me baby, I want you to be all mine I just get so blue  ...  ",0.9485,0.22,0.0,0.78
14,Words,Bee Gees,1968-03-07,1968,03,07,"Smile an everlasting smile A smile can bring you near to me Don't ever let me find you down 'Cause that would bring a tear to me This world has lost its glory  Let's start a brand new story now, my love Right now, there'll be no other time And I can show you how, my love ...  ",0.9423,0.278,0.064,0.658
15,Dance To The Music,Sly & The Family Stone,1968-03-07,1968,03,07,"Cynthia: Get up and dance to the music! Get on up and dance to the fonky music! Dum-dumm du-du-du-du-du-dum-dumm Du-du-du-du-du-dum-dumm - du-du-du-du-du-dum-dumm All: Dance to the Music, Dance to the Music Freddie: Hey Greg! Greg: What? Freddie: All we need is a drummer, for people who only need a beat, yeah! [Drummer] ...  ",0.5216,0.064,0.0,0.936
16,Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay,1968-03-07,1968,03,07,"Too Much Talk Paul Revere & Raiders  Read the news in the Times today... said the world is goin' round (world is goin' round) I don't care what somebody said, somebody always puts 'em down (always puts 'em down) Red or yellow, black or white? Are you left-handed or are you right? When you open your eyes can you see the light? Do you wake up screamin' in the middle of the ni-i-i-ight? ...  ",-0.5556,0.0,0.048,0.952
17,Goin' Out Of My Head/Can't Take My Eyes Off You,The Lettermen,1968-03-07,1968,03,07,"Well, I think I'm goin' out of my head. Yes, I think I'm goin' out of my head Over you, Over you.  I want you to want me. I need you so badly I can't think of anything but you--  You're just too good to be true. Can't take my eyes off of you. You'd be like heaven to touch. I wanna hold you so much. At long last, love has arrived ...  ",0.9728,0.31,0.029,0.661
18,Nobody But Me,The Human Beinz,1968-03-07,1968,03,07,"No-no, no, no-no, no-no-no-no No, no-no, no, no, no-no, no-no, no-no No-no-no-no, no-no, no, no-no, no  Nobody can do the shing-a-ling Like I do Nobody can do the skate Like I do Nobody can do boogaloo Like I do Nobody can do Philly Like I do  Well, don't you know I go to skate, I do Ain't nobody doin' it but me (Nobody but me) ...  ",-0.0129,0.127,0.143,0.73
19,There Is,The Dells,1968-03-07,1968,03,07,"There is, there is There is, there is  There is the time There is the place There is the time There is the face  There is the hand There is the touch There is the love I need so much  Oh, girl, why won't you let me love you And let your troubled heart be free Take heed to all my goodness Take a hold and follow me Now listen, baby  There is today (yeah, yeah) I am the road, I am the way (oh) I'll fight your fears down Through the years (uh huh) Believe me, believe me, baby  Girl, why won't you let me love you (What does it take to make you see) (You got to see, baby)  ...  ",0.9403,0.158,0.06,0.781
20,Valleri,The Monkees,1968-03-07,1968,03,07,"Valleri. I love my Valleri.  There's a girl I know who makes me feel so good. And I wouldn't live without her, even if I could. They call her Valleri. ...  ",0.8377,0.249,0.0,0.751
21,Green Tambourine,The Lemon Pipers,1968-03-07,1968,03,07,"Drop your silver in my tambourine Help a poor man fill a pretty dream Give me pennies, I'll take anything Now listen while I play My green tambourine  ...  ",0.6249,0.29,0.146,0.563
