,Song,Artist,Date,Year,Month,Day,Lyrics,Compound,Positive,Negative,Neutral
0,Lady Willpower,Gary Puckett And The Union Gap,1968-07-21,1968,07,21,Lady Willpower - it's now or never Give your love to me and I'll shower your heart with tenderness Endlessly  I know you want to see me but you're afraid Of what I might have on my mind One thing you can be sure of I'll take good care of your love If you will let me give you mine ...  ,0.7517,0.197,0.094,0.709
1,Stoned Soul Picnic,The 5th Dimension,1968-07-21,1968,07,21,"Can you surry? Can you picnic? (whoa, whoa) Can you surry? Can you picnic? Come on, come on and surry down To a stoned soul picnic Surry down to a stoned soul picnic There'll be lots of time and wine Red yellow honey, sassafras and moonshine Red yellow honey, sassafras and moonshine Stoned soul, whoaaaa... Stoned soul, (whoa) Whoaaaaa... Come on, come on and surry down To a stoned soul picnic Can you surry, can you picnic? Surry down to a stoned soul picnic Rain and sun come in come in And from the sky come the Lord and the lightning And from the sky come the Lord and the lightning ...  ",0.0,0.0,0.0,1.0
2,Jumpin' Jack Flash,The Rolling Stones,1968-07-21,1968,07,21,"One, two!  I was born in a crossfire hurricane And I howled at my ma in the drivin' rain  But it's all right now, in fact it's a gas But it's all right, I'm jumpin' jack flash It's a gas, gas, gas  I was raised by a toothless, bearded hag I was schooled with a strap right across my back ...  ",-0.4003,0.0,0.05,0.95
3,Hurdy Gurdy Man,Donovan,1968-07-21,1968,07,21,"Thrown like a star in my vast sleep I opened my eyes to take a peek To find that I was by the sea Gazing with tranquility  'Twas then when the Hurdy Gurdy Man Came singing songs of love Then when the Hurdy Gurdy Man Came singing songs of love  ""Hurdy gurdy, hurdy gurdy, hurdy gurdy gurdy"" he sang ...  ",0.9287,0.209,0.0,0.791
4,This Guy's In Love With You,Herb Alpert,1968-07-21,1968,07,21,"You see this guy This guy's in love with you Yes, I'm in love Who looks at you the way I do  When you smile I can tell We know each other very well How can I show you I'm glad I got to know you, 'cause  I've heard some talk They say you think I'm fine Yes, I'm in love And what I'd do ...  ",0.9792,0.343,0.0,0.657
5,Indian Lake,The Cowsills,1968-07-21,1968,07,21,"You take a bus marked ""Lakewood Drive"" And you keep on ridin' 'til you're out of the city Where the air is fine with the sweet smell of pine And the countryside's pretty  And you'll see daffodils, peepin' over the hill Or a honey lovin' mama bear Just take a left at the bridge, go down to Quakertown Ridge And in a minute you're there  Di din din din din din di din din din din din Di din din din din din di din din din din din  ...  ",0.7906,0.088,0.0,0.912
6,"Turn Around, Look At Me",The Vogues,1968-07-21,1968,07,21,"There is someone walking behind you, Turn around, look at me There is someone watching your footsteps, Turn around, look at me There is someone who really needs you Here is my heart in my hand Turn around (turn around), look at me (look at me) ...  ",0.4939,0.065,0.0,0.935
7,Here Comes The Judge,Shorty Long,1968-07-21,1968,07,21,"Hear ye, hear ye The court's in session The court's in session, now  Stop eatin' that fudge Cause here comes the judge Don't nobody buzz Cause here comes the judge Judge Shorty is presidin' today And he don't take no stuff from nobody No kind of way  Hey boy, take off that hat Where do you think you're at I know where you gon' be If you don't heed my plea ...  ",-0.3637,0.025,0.059,0.915
8,Reach Out Of The Darkness,Friend And Lover,1968-07-21,1968,07,21,I think it's so groovy now That people are finally getting together I thinks it's so wonderful and how That people are finally getting together Reach out in the darkness Reach out in the darkness ...  ,0.4481,0.174,0.1,0.726
9,Pictures Of Matchstick Men,The Status Quo,1968-07-21,1968,07,21,"When I look up to the sky I see your eyes a funny kind of yellow I rush home to bed I soak my head I see your face underneath my pillow I wake next morning, tired, still yawning See your face come peeping through my window  Pictures of matchstick men and you Mirages of matchstick men and you ...  ",0.0,0.051,0.051,0.898
10,The Look Of Love,Sergio Mendes & Brasil '66,1968-07-21,1968,07,21,"The look of love is in your eyes A look your smile can't disguise The look of lo-ove is saying so much more than just words could ever say And what my heart has heard, well it takes my breath away  I can hardly wait to hold you, feel my arms around you How long I have waited Waited just to love you, now that I have found you ...  ",0.9292,0.195,0.0,0.805
11,Angel Of The Morning,Merrilee Rush & The Turnabouts,1968-07-21,1968,07,21,"ANGEL OF THE MORNING Merrilee Rush & The Turnabouts  There'll be no strings to bind your hands Not if my love can't bind your heart. And there's no need to take a stand For it was I who chose to start. I see no reason to take me home I'm old enough to face the dawn.  Just call me angel of the morning, Angel ...  ",-0.1027,0.062,0.097,0.841
12,Sunshine Of Your Love,Cream,1968-07-21,1968,07,21,"It's getting near dawn When lights close their tired eyes I'll soon be with you, my love Give you my dawn surprise I'll be with you, darling, soon I'll be with you when the stars start falling  I've been waiting so long To be where I'm going In the sunshine of your love  ...  ",0.9325,0.254,0.065,0.681
